,,,,Emperical,Theoretical
140,19460,1611916,0.001611916,20110,138875.8475
141,19740,2257333,0.002257333,25844,141075.7437
142,20022,2268750,0.00226875,24404,143294.2368
143,20306,2025875,0.002025875,26063,145531.3474
144,20592,2107125,0.002107125,23498,147787.0956
145,20880,2490833,0.002490833,29171,150061.5018
146,21170,2915917,0.002915917,24820,152354.5859
147,21462,2889042,0.002889042,22617,154666.3679
148,21756,2246792,0.002246792,27567,156996.8674
149,22052,2487334,0.002487334,26981,159346.1042
150,22350,3011125,0.003011125,27637,161714.0977
151,22650,2183916,0.002183916,25310,164100.8673
152,22952,3451042,0.003451042,29422,166506.4323
153,23256,3391291,0.003391291,25874,168930.8117
154,23562,3176083,0.003176083,33043,171374.0245
155,23870,2559167,0.002559167,26578,173836.0896
156,24180,3647375,0.003647375,30986,176317.0257
157,24492,2503250,0.00250325,21900,178816.8514
158,24806,2920459,0.002920459,33108,181335.5852
159,25122,2470542,0.002470542,27986,183873.2456
160,25440,3334542,0.003334542,28007,186429.8507
161,25760,3871667,0.003871667,32517,189005.4188
162,26082,2956250,0.00295625,29576,191599.9678
163,26406,4659125,0.004659125,34020,194213.5156
164,26732,3269917,0.003269917,33923,196846.0802
165,27060,3093459,0.003093459,36923,199497.6791
166,27390,2783959,0.002783959,33617,202168.33
167,27722,3689750,0.00368975,37267,204858.0504
168,28056,3022500,0.0030225,34963,207566.8576
169,28392,4002625,0.004002625,38604,210294.769
170,28730,3725084,0.003725084,35950,213041.8016
