Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count
193,192,20231429,0.020231429,1704
194,193,21097686,0.021097686,1854
195,194,24551000,0.024551,1870
196,195,24541956,0.024541956,1897
197,196,28044647,0.028044647,1949
198,197,24282623,0.024282623,1953
199,198,21304387,0.021304387,2387
200,199,29129365,0.029129365,2360
201,200,29759350,0.02975935,1851
202,201,16965690,0.01696569,1962
203,202,32334736,0.032334736,2655
204,203,27469499,0.027469499,2182
205,204,28312814,0.028312814,2201
206,205,28700700,0.0287007,2271
207,206,27032716,0.027032716,2192
208,207,28752230,0.02875223,2313
209,208,25629184,0.025629184,2081
210,209,29852711,0.029852711,2327
211,210,30398730,0.03039873,2280
212,211,29525883,0.029525883,2098
213,212,33962354,0.033962354,2637
214,213,25623328,0.025623328,1993
215,214,30781439,0.030781439,2756
216,215,31998059,0.031998059,2597
217,216,33597934,0.033597934,2494
218,217,27599375,0.027599375,2619
219,218,28035730,0.02803573,2461
220,219,32122369,0.032122369,2158
221,220,34871301,0.034871301,2516
222,221,21086541,0.021086541,2140
223,222,33622925,0.033622925,2333
224,223,35422302,0.035422302,2662
225,224,33360027,0.033360027,2258
226,225,32170523,0.032170523,2361
227,226,39184043,0.039184043,2621
228,227,42548215,0.042548215,2428
229,228,33566705,0.033566705,2153
230,229,34634746,0.034634746,2647
231,230,35935081,0.035935081,2601
232,231,42152852,0.042152852,2664
233,232,61608984,0.061608984,2307
234,233,46915101,0.046915101,2317
235,234,44608063,0.044608063,3475
236,235,38037986,0.038037986,2843
237,236,38749618,0.038749618,2686
238,237,23494498,0.023494498,2695
239,238,40486715,0.040486715,2844
240,239,52209170,0.05220917,2720
241,240,42651389,0.042651389,3114
242,241,42531688,0.042531688,2489
243,242,43987587,0.043987587,3446
244,243,37961570,0.03796157,2913
245,244,50130905,0.050130905,3855
246,245,50790603,0.050790603,2316
247,246,57573667,0.057573667,2837
248,247,55855892,0.055855892,2514
249,248,54523618,0.054523618,2955
250,249,55483490,0.05548349,2827
251,250,51981121,0.051981121,2758
252,251,56452665,0.056452665,3604
253,252,39834108,0.039834108,2585
254,253,49172267,0.049172267,2580
255,254,57231559,0.057231559,3236
256,255,57320224,0.057320224,2817
257,256,56252003,0.056252003,3050
258,257,61557037,0.061557037,2460
259,258,54934652,0.054934652,3267
260,259,58344373,0.058344373,3312
261,260,60864812,0.060864812,3100
262,261,69679130,0.06967913,4328
263,262,60934554,0.060934554,3891
264,263,73150541,0.073150541,2479
265,264,81189490,0.08118949,3253
266,265,49420592,0.049420592,2811
267,266,76434240,0.07643424,3813
268,267,78249969,0.078249969,3509
269,268,67297362,0.067297362,3012
270,269,72409370,0.07240937,2619
271,270,88308520,0.08830852,2891
272,271,70333298,0.070333298,3197
273,272,73916069,0.073916069,3399
274,273,64710680,0.06471068,3272
275,274,77963360,0.07796336,3103
276,275,71029618,0.071029618,3223
277,276,81665576,0.081665576,3111
278,277,54776413,0.054776413,2957
279,278,89616680,0.08961668,3127
280,279,85539976,0.085539976,3435
281,280,80364109,0.080364109,3267
282,281,85022709,0.085022709,2988
283,282,85137054,0.085137054,2852
284,283,80593642,0.080593642,3221
285,284,95488117,0.095488117,3746
286,285,86950956,0.086950956,3302
287,286,87801408,0.087801408,3194
288,287,94987698,0.094987698,3798
289,288,74330442,0.074330442,3131
290,289,80069756,0.080069756,2986
291,290,108417087,0.108417087,3360
292,291,96679363,0.096679363,3054
293,292,97254740,0.09725474,3001
294,293,97277031,0.097277031,3868
295,294,100375853,0.100375853,3843
296,295,102932911,0.102932911,3843
297,296,96528284,0.096528284,3639
298,297,99396554,0.099396554,3533
299,298,75719708,0.075719708,3610
300,299,98762450,0.09876245,3650
