Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count
184,16836,845941045,0.845941045,8227
185,17020,870792460,0.87079246,8205
186,17205,918581580,0.91858158,8499
187,17391,951729371,0.951729371,9316
188,17578,890799597,0.890799597,10089
189,17766,1161720831,1.161720831,8718
190,17955,922060928,0.922060928,9319
191,18145,942009534,0.942009534,8903
192,18336,1028490170,1.02849017,9085
193,18528,1101208075,1.101208075,8983
194,18721,1041750214,1.041750214,11083
195,18915,981285842,0.981285842,9222
196,19110,1004910138,1.004910138,10548
197,19306,1020374829,1.020374829,9709
198,19503,1073523530,1.07352353,9570
199,19701,1119565840,1.11956584,9534
200,19900,1087603891,1.087603891,9838
201,20100,1098590040,1.09859004,9944
202,20301,1180770121,1.180770121,10069
203,20503,1174298374,1.174298374,10586
204,20706,1150654630,1.15065463,10422
205,20910,1246520088,1.246520088,10501
206,21115,1346489574,1.346489574,10929
207,21321,1227516645,1.227516645,11020
208,21528,1263637006,1.263637006,10630
209,21736,1346295079,1.346295079,10815
210,21945,1397874782,1.397874782,10618
211,22155,1345758116,1.345758116,12829
212,22366,1426859323,1.426859323,11290
213,22578,1487486224,1.487486224,11041
214,22791,1450509215,1.450509215,11161
215,23005,1196858250,1.19685825,11467
216,23220,1524638483,1.524638483,11291
217,23436,1568087008,1.568087008,11316
218,23653,1529722936,1.529722936,11853
219,23871,1529283516,1.529283516,12520
220,24090,1570844489,1.570844489,12761
221,24310,1667177773,1.667177773,12321
222,24531,1609412645,1.609412645,12015
223,24753,1826413623,1.826413623,12165
224,24976,1756571065,1.756571065,12284
225,25200,1803428844,1.803428844,13325
226,25425,1461648775,1.461648775,13867
227,25651,1822046289,1.822046289,12406
228,25878,1872892444,1.872892444,14794
229,26106,1921760624,1.921760624,12697
230,26335,1865510451,1.865510451,12837
231,26565,1949272898,1.949272898,13001
232,26796,1967160033,1.967160033,13725
233,27028,2044757216,2.044757216,13378
234,27261,2083541142,2.083541142,13665
235,27495,2128140830,2.12814083,14616
236,27730,1717172878,1.717172878,14115
237,27966,2199214973,2.199214973,13474
238,28203,2333640151,2.333640151,13995
239,28441,2375470359,2.375470359,14360
240,28680,2365309161,2.365309161,14532
241,28920,2377787912,2.377787912,15142
242,29161,2776314488,2.776314488,14272
243,29403,2966487560,2.96648756,14742
244,29646,3024784676,3.024784676,14760
245,29890,1955312713,1.955312713,14599
246,30135,3161506763,3.161506763,15118
247,30381,3200134520,3.20013452,16039
248,30628,3457755736,3.457755736,14905
249,30876,3319730297,3.319730297,15738
250,31125,3318796651,3.318796651,15624
251,31375,3608233036,3.608233036,15578
252,31626,3678147693,3.678147693,15582
253,31878,3675792790,3.67579279,17455
254,32131,3007594890,3.00759489,17373
255,32385,3625028171,3.625028171,15936
256,32640,3379360696,3.379360696,15954
257,32896,3300381612,3.300381612,16210
258,33153,3487658618,3.487658618,16286
259,33411,3507157574,3.507157574,17298
260,33670,3590272410,3.59027241,16503
261,33930,3918453417,3.918453417,16447
262,34191,2799284502,2.799284502,16716
263,34453,3893691090,3.89369109,16733
264,34716,4001809481,4.001809481,18121
265,34980,4042359521,4.042359521,17563
266,35245,4156680685,4.156680685,18084
267,35511,4327970150,4.32797015,17153
268,35778,4445087992,4.445087992,17421
269,36046,4123225985,4.123225985,17726
270,36315,4470928652,4.470928652,17857
271,36585,4632980761,4.632980761,20774
272,36856,4750402213,4.750402213,18789
273,37128,4929077780,4.92907778,18331
274,37401,4954009678,4.954009678,18658
275,37675,4992876676,4.992876676,19202
276,37950,5015713478,5.015713478,19889
277,38226,5269235066,5.269235066,19093
278,38503,5525820945,5.525820945,19140
279,38781,5724031452,5.724031452,18796
280,39060,5527913098,5.527913098,19921
281,39340,5755902047,5.755902047,19274
282,39621,7982346163,7.982346163,19673
283,39903,4901825173,4.901825173,20652
284,40186,8553428619,8.553428619,20122
285,40470,8640452680,8.64045268,20184
286,40755,8198496306,8.198496306,20849
287,41041,8394417525,8.394417525,20926
288,41328,10570744452,10.570744452,20486
289,41616,10481840283,10.481840283,20554
290,41905,7983976146,7.983976146,21295
291,42195,9808339617,9.808339617,21194
292,42486,9259824158,9.259824158,21511
293,42778,9061418632,9.061418632,21323
294,43071,8698390984,8.698390984,21318
295,43365,9655831345,9.655831345,23808
296,43660,5490332521,5.490332521,22011
297,43956,10778322501,10.778322501,25852
298,44253,10258864904,10.258864904,22480
299,44551,11537251694,11.537251694,21863
300,44850,13208314601,13.208314601,22333
