Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count
183,33306,1152269780,1.15226978,12477
184,33672,1212791279,1.212791279,11075
185,34040,1258161246,1.258161246,11743
186,34410,1237542385,1.237542385,13402
187,34782,1318004300,1.3180043,12537
188,35156,1448195798,1.448195798,11823
189,35532,1381364980,1.38136498,10855
190,35910,1380875204,1.380875204,12280
191,36290,1484953222,1.484953222,14296
192,36672,1603511454,1.603511454,12516
193,37056,1621476209,1.621476209,12839
194,37442,1664616156,1.664616156,14312
195,37830,1747422026,1.747422026,13925
196,38220,1764725767,1.764725767,11870
197,38612,1649386183,1.649386183,14206
198,39006,1730733450,1.73073345,15069
199,39402,1790240456,1.790240456,14650
200,39800,1796383950,1.79638395,13864
201,40200,1794433452,1.794433452,14890
202,40602,1811838183,1.811838183,14463
203,41006,1884272955,1.884272955,15537
204,41412,1935198072,1.935198072,15831
205,41820,1988672423,1.988672423,15715
206,42230,2070433725,2.070433725,15116
207,42642,2154209435,2.154209435,16163
208,43056,2195444578,2.195444578,15893
209,43472,2252263139,2.252263139,16479
210,43890,2292723650,2.29272365,15930
211,44310,2254345603,2.254345603,16287
212,44732,2439489454,2.439489454,16042
213,45156,2302219967,2.302219967,16616
214,45582,2377801138,2.377801138,17959
215,46010,2520221025,2.520221025,16562
216,46440,2456027901,2.456027901,17054
217,46872,2408700258,2.408700258,18598
218,47306,2528753451,2.528753451,17696
219,47742,2698222049,2.698222049,18475
220,48180,2095019835,2.095019835,17229
221,48620,2808270608,2.808270608,18853
222,49062,4187854539,4.187854539,18914
223,49506,3281534741,3.281534741,17694
224,49952,3042217624,3.042217624,19173
225,50400,4206294187,4.206294187,17991
226,50850,3960020662,3.960020662,18864
227,51302,4011382472,4.011382472,20358
228,51756,3665260854,3.665260854,20438
229,52212,3634958229,3.634958229,20420
230,52670,4155000405,4.155000405,20088
231,53130,3631357625,3.631357625,21201
232,53592,3662022686,3.662022686,20268
233,54056,4139268231,4.139268231,21118
234,54522,3933039528,3.933039528,20726
235,54990,3312999228,3.312999228,21818
236,55460,3762808907,3.762808907,21912
237,55932,4065903145,4.065903145,21028
238,56406,4127324284,4.127324284,21454
239,56882,4244269941,4.244269941,22150
240,57360,4381118431,4.381118431,22271
241,57840,4405795320,4.40579532,22708
242,58322,4111822966,4.111822966,21491
243,58806,4634436204,4.634436204,21762
244,59292,4616641671,4.616641671,23706
245,59780,5134361634,5.134361634,23412
246,60270,5415527620,5.41552762,23488
247,60762,6192996457,6.192996457,23912
248,61256,3372693835,3.372693835,23660
249,61752,6023587038,6.023587038,23433
250,62250,6251845977,6.251845977,24096
251,62750,6496684680,6.49668468,24807
252,63252,6543995050,6.54399505,24982
253,63756,6403588152,6.403588152,24763
254,64262,3539573882,3.539573882,24601
255,64770,5802649467,5.802649467,25178
256,65280,6826391332,6.826391332,26216
257,65792,6149522527,6.149522527,25959
258,66306,6105638611,6.105638611,26025
259,66822,5758045876,5.758045876,25555
260,67340,5104872323,5.104872323,26015
261,67860,6308850724,6.308850724,25509
262,68382,6238155210,6.23815521,26407
263,68906,6766324143,6.766324143,26661
264,69432,7341764970,7.34176497,26497
265,69960,6261874834,6.261874834,27073
266,70490,7439717657,7.439717657,27831
267,71022,7987009881,7.987009881,27928
268,71556,8895613435,8.895613435,28196
269,72092,9286139656,9.286139656,28460
270,72630,9016589706,9.016589706,25574
271,73170,6135953984,6.135953984,27259
272,73712,8590874145,8.590874145,29721
273,74256,8682311971,8.682311971,29076
274,74802,8458744982,8.458744982,30169
275,75350,8393375750,8.39337575,28774
276,75900,4776026718,4.776026718,30525
277,76452,8257313411,8.257313411,30038
278,77006,8617068390,8.61706839,30483
279,77562,8805350133,8.805350133,29687
280,78120,9083436935,9.083436935,30887
281,78680,5795567566,5.795567566,30716
282,79242,9194869476,9.194869476,30906
283,79806,9406650261,9.406650261,32350
284,80372,8817839403,8.817839403,31781
285,80940,9976627966,9.976627966,31711
286,81510,10069177007,10.069177007,32169
287,82082,10055081910,10.05508191,32983
288,82656,10517795417,10.517795417,28862
289,83232,10745660449,10.745660449,34155
290,83810,8230124641,8.230124641,33609
291,84390,9370972386,9.370972386,34201
292,84972,9701366345,9.701366345,33612
293,85556,10017319337,10.017319337,33516
294,86142,10233909250,10.23390925,33964
295,86730,8082328056,8.082328056,34484
296,87320,10493062704,10.493062704,34199
297,87912,10690222685,10.690222685,34648
298,88506,10982233455,10.982233455,35574
299,89102,7490322873,7.490322873,36506
300,89700,11222935414,11.222935414,36631
