Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count
177,15576,2544105,0.002544105,23407
178,15753,2467740,0.00246774,18983
179,15931,2915314,0.002915314,23253
180,16110,2493373,0.002493373,18106
181,16290,2951756,0.002951756,22516
182,16471,2710701,0.002710701,26298
183,16653,3946736,0.003946736,27287
184,16836,2737949,0.002737949,22198
185,17020,2240559,0.002240559,21337
186,17205,3660943,0.003660943,30272
187,17391,2778473,0.002778473,27986
188,17578,3101601,0.003101601,22619
189,17766,2567253,0.002567253,21615
190,17955,2706207,0.002706207,27443
191,18145,3400475,0.003400475,23802
192,18336,2806173,0.002806173,22424
193,18528,3652551,0.003652551,24422
194,18721,3970896,0.003970896,28640
195,18915,3104769,0.003104769,26103
196,19110,3924200,0.0039242,31096
197,19306,4135229,0.004135229,27202
198,19503,3616650,0.00361665,27353
199,19701,3362172,0.003362172,27727
200,19900,2946051,0.002946051,25402
201,20100,2640024,0.002640024,27068
202,20301,3094335,0.003094335,24094
203,20503,3535066,0.003535066,25243
204,20706,4050191,0.004050191,25600
205,20910,3009421,0.003009421,28860
206,21115,4222319,0.004222319,28798
207,21321,3758260,0.00375826,34153
208,21528,5521759,0.005521759,31588
209,21736,3678410,0.00367841,32404
210,21945,4007173,0.004007173,34956
211,22155,4036956,0.004036956,32621
212,22366,4729240,0.00472924,31348
213,22578,4693118,0.004693118,30829
214,22791,5327491,0.005327491,32859
215,23005,3763374,0.003763374,29064
216,23220,3692403,0.003692403,33703
217,23436,2875868,0.002875868,25445
218,23653,3435576,0.003435576,31695
219,23871,3875230,0.00387523,33529
220,24090,4749886,0.004749886,31892
221,24310,4295658,0.004295658,33426
222,24531,4678726,0.004678726,35411
223,24753,4924236,0.004924236,39494
224,24976,4070992,0.004070992,36360
225,25200,4481919,0.004481919,35255
226,25425,5235778,0.005235778,39909
227,25651,4456260,0.00445626,38145
228,25878,6470190,0.00647019,35659
229,26106,6376702,0.006376702,32223
230,26335,5377061,0.005377061,32614
231,26565,5148705,0.005148705,41202
232,26796,6542020,0.00654202,35716
233,27028,4801848,0.004801848,37379
234,27261,5237535,0.005237535,32688
235,27495,6689211,0.006689211,47739
236,27730,4596288,0.004596288,39034
237,27966,4570803,0.004570803,39157
238,28203,5692118,0.005692118,34843
239,28441,6446465,0.006446465,44636
240,28680,4711361,0.004711361,37247
241,28920,3929304,0.003929304,37057
242,29161,5132508,0.005132508,39544
243,29403,6324808,0.006324808,41248
244,29646,4267668,0.004267668,37211
245,29890,5058172,0.005058172,39738
246,30135,5741632,0.005741632,42473
247,30381,6245080,0.00624508,41184
248,30628,5293759,0.005293759,37825
249,30876,4111430,0.00411143,38466
250,31125,5819383,0.005819383,41658
251,31375,5302104,0.005302104,39000
252,31626,5036766,0.005036766,39612
253,31878,5435901,0.005435901,41229
254,32131,5461081,0.005461081,41317
255,32385,6667683,0.006667683,39927
256,32640,5265890,0.00526589,44432
257,32896,5096054,0.005096054,41926
258,33153,6247239,0.006247239,45476
259,33411,7157635,0.007157635,48313
260,33670,8393333,0.008393333,50805
261,33930,7119435,0.007119435,48069
262,34191,8399964,0.008399964,47356
263,34453,5855731,0.005855731,46470
264,34716,9993156,0.009993156,48800
265,34980,7005606,0.007005606,51339
266,35245,8089387,0.008089387,50051
267,35511,5777230,0.00577723,47793
268,35778,7148454,0.007148454,51305
269,36046,6694820,0.00669482,56545
270,36315,5568871,0.005568871,43574
271,36585,6729475,0.006729475,42946
272,36856,6050990,0.00605099,47085
273,37128,6632056,0.006632056,50621
274,37401,6054867,0.006054867,51735
275,37675,6963639,0.006963639,49244
276,37950,6600199,0.006600199,48045
277,38226,7244883,0.007244883,54256
278,38503,10045745,0.010045745,51130
279,38781,6912321,0.006912321,53212
280,39060,7247071,0.007247071,48071
281,39340,6612703,0.006612703,48617
282,39621,8323821,0.008323821,57316
283,39903,9387612,0.009387612,60001
284,40186,7598183,0.007598183,57733
285,40470,7022168,0.007022168,56593
286,40755,7935303,0.007935303,54977
287,41041,13756918,0.013756918,62370
288,41328,7905635,0.007905635,56198
289,41616,7633512,0.007633512,53723
290,41905,9676271,0.009676271,63035
291,42195,10143956,0.010143956,59476
292,42486,8153747,0.008153747,55782
293,42778,9286839,0.009286839,58087
294,43071,8811268,0.008811268,56103
295,43365,8147921,0.008147921,52126
296,43660,6573155,0.006573155,62606
297,43956,9805385,0.009805385,66680
298,44253,8230542,0.008230542,60210
299,44551,11920166,0.011920166,71475
300,44850,6893847,0.006893847,63603
