Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count
178,31506,5165956,0.005165956,37156
179,31862,4012249,0.004012249,41096
180,32220,4261654,0.004261654,41328
181,32580,3880426,0.003880426,38584
182,32942,4620623,0.004620623,41668
183,33306,4418549,0.004418549,40002
184,33672,3597959,0.003597959,45123
185,34040,3767224,0.003767224,38226
186,34410,5530418,0.005530418,45909
187,34782,5595642,0.005595642,45747
188,35156,4405572,0.004405572,49809
189,35532,4296271,0.004296271,41374
190,35910,4378479,0.004378479,40904
191,36290,4459917,0.004459917,48950
192,36672,4365270,0.00436527,49909
193,37056,5038585,0.005038585,47078
194,37442,5540435,0.005540435,44106
195,37830,5350210,0.00535021,46192
196,38220,5094478,0.005094478,47668
197,38612,4022842,0.004022842,41210
198,39006,4619372,0.004619372,42850
199,39402,6100820,0.00610082,49983
200,39800,5223809,0.005223809,52613
201,40200,5767007,0.005767007,50432
202,40602,6143247,0.006143247,48670
203,41006,5406110,0.00540611,52775
204,41412,4996527,0.004996527,53993
205,41820,5584928,0.005584928,50810
206,42230,7806534,0.007806534,60374
207,42642,5746611,0.005746611,41251
208,43056,7307993,0.007307993,60931
209,43472,7118623,0.007118623,52023
210,43890,9590202,0.009590202,64663
211,44310,7579224,0.007579224,58067
212,44732,6964907,0.006964907,58070
213,45156,7242899,0.007242899,56957
214,45582,5652638,0.005652638,56710
215,46010,5665632,0.005665632,54131
216,46440,5976039,0.005976039,60439
217,46872,6963056,0.006963056,61248
218,47306,5817356,0.005817356,60564
219,47742,7110086,0.007110086,63851
220,48180,8582426,0.008582426,64346
221,48620,6691279,0.006691279,61886
222,49062,6967578,0.006967578,59103
223,49506,6454046,0.006454046,61432
224,49952,6803153,0.006803153,66559
225,50400,7245584,0.007245584,62808
226,50850,8410985,0.008410985,65678
227,51302,7376872,0.007376872,60228
228,51756,8120393,0.008120393,71142
229,52212,7331243,0.007331243,69352
230,52670,6533529,0.006533529,65044
231,53130,6012410,0.00601241,73509
232,53592,8291187,0.008291187,76219
233,54056,10154459,0.010154459,72487
234,54522,9113786,0.009113786,67036
235,54990,6249381,0.006249381,69106
236,55460,7014201,0.007014201,65780
237,55932,6922696,0.006922696,72566
238,56406,6805060,0.00680506,72808
239,56882,8830020,0.00883002,77779
240,57360,10264366,0.010264366,81672
241,57840,6554768,0.006554768,69362
242,58322,9614581,0.009614581,83551
243,58806,7258076,0.007258076,66553
244,59292,7529737,0.007529737,81643
245,59780,8924688,0.008924688,80685
246,60270,6751539,0.006751539,76771
247,60762,9737280,0.00973728,82150
248,61256,10016917,0.010016917,87202
249,61752,7005750,0.00700575,80035
250,62250,9034690,0.00903469,75739
251,62750,8081715,0.008081715,88618
252,63252,11109407,0.011109407,80937
253,63756,8360350,0.00836035,77700
254,64262,9212519,0.009212519,86689
255,64770,9649702,0.009649702,86416
256,65280,12477169,0.012477169,77640
257,65792,10125358,0.010125358,78014
258,66306,8770913,0.008770913,81669
259,66822,9911059,0.009911059,90609
260,67340,10788548,0.010788548,91278
261,67860,9743338,0.009743338,89149
262,68382,8379809,0.008379809,95980
263,68906,9059359,0.009059359,84463
264,69432,13343787,0.013343787,95258
265,69960,10605934,0.010605934,92394
266,70490,9552869,0.009552869,86033
267,71022,11649840,0.01164984,101002
268,71556,11071071,0.011071071,87924
269,72092,12594576,0.012594576,93535
270,72630,9238152,0.009238152,88071
271,73170,9280200,0.0092802,91364
272,73712,9951404,0.009951404,96742
273,74256,9666178,0.009666178,94555
274,74802,11854332,0.011854332,92611
275,75350,10608075,0.010608075,89805
276,75900,10528112,0.010528112,108959
277,76452,10237149,0.010237149,102864
278,77006,11848030,0.01184803,101046
279,77562,10013630,0.01001363,105497
280,78120,10616284,0.010616284,112461
281,78680,11975047,0.011975047,103255
282,79242,12680486,0.012680486,101945
283,79806,10937642,0.010937642,101759
284,80372,15469335,0.015469335,110919
285,80940,11077520,0.01107752,112592
286,81510,12131366,0.012131366,118633
